id,titulo,anio,calificacion,duracion,metascore,url,actores
3983,Hababam Sinifi: Sinifta Kaldi,1970,9,95.0,,https://www.imdb.com/title/tt0252488/,"Münir Özkul, Tarik Akan, Kemal Sunal"
3984,A Clockwork Orange,1972,8,136.0,77.0,https://www.imdb.com/title/tt0066921/,"Malcolm McDowell, Patrick Magee, Michael Bates"
3985,L.A. Confidential,1997,8,138.0,91.0,https://www.imdb.com/title/tt0119488/,"Kevin Spacey, Russell Crowe, Guy Pearce"
3986,Indiana Jones and the Last Crusade,1989,8,127.0,65.0,https://www.imdb.com/title/tt0097576/,"Harrison Ford, Sean Connery, Alison Doody"
3987,Oppenheimer,2023,8,180.0,90.0,https://www.imdb.com/title/tt15398776/,"Matt Damon, Cillian Murphy, Emily Blunt"
3988,Metropolis,1927,8,153.0,98.0,https://www.imdb.com/title/tt0017136/,"Brigitte Helm, Alfred Abel, Gustav Fröhlich"
3989,Der Untergang,2005,8,156.0,82.0,https://www.imdb.com/title/tt0363163/,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes"
3990,Snatch,2001,8,102.0,55.0,https://www.imdb.com/title/tt0208092/,"Brad Pitt, Jason Statham, Stephen Graham"
3991,Hamilton,2020,8,160.0,88.0,https://www.imdb.com/title/tt8503618/,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr."
3992,Judgment at Nuremberg,1961,8,179.0,60.0,https://www.imdb.com/title/tt0055031/,"Spencer Tracy, Burt Lancaster, Richard Widmark"
3993,The Wolf of Wall Street,2013,8,180.0,75.0,https://www.imdb.com/title/tt0993846/,"Leonardo DiCaprio, Jonah Hill, Margot Robbie"
3994,Taxi Driver,1976,8,114.0,94.0,https://www.imdb.com/title/tt0075314/,"Robert De Niro, Jodie Foster, Cybill Shepherd"
3995,Green Book,2018,8,130.0,69.0,https://www.imdb.com/title/tt6966692/,"Viggo Mortensen, Mahershala Ali, Linda Cardellini"
3996,Some Like It Hot,1959,8,121.0,98.0,https://www.imdb.com/title/tt0053291/,"Jack Lemmon, Marilyn Monroe, Tony Curtis"
3997,Shutter Island,2010,8,138.0,63.0,https://www.imdb.com/title/tt1130884/,"Leonardo DiCaprio, Mark Ruffalo, Emily Mortimer"
3998,Batman Begins,2005,8,140.0,70.0,https://www.imdb.com/title/tt0372784/,"Christian Bale, Michael Caine, Ken Watanabe"
3999,The Father,2021,8,97.0,88.0,https://www.imdb.com/title/tt10272386/,"Anthony Hopkins, Olivia Colman, Mark Gatiss"
4000,The Truman Show,1998,8,103.0,90.0,https://www.imdb.com/title/tt0120382/,"Jim Carrey, Ed Harris, Laura Linney"
4001,The Kid,1921,8,68.0,,https://www.imdb.com/title/tt0012349/,"Charles Chaplin, Edna Purviance, Jackie Coogan"
